Title,Authors,Abstract,Link,publication
Cancer'sfearsome travelers.,"Katherine Hobson, Katherine Hobson",No abstract available,https://pubmed.ncbi.nlm.nih.gov//15077361/,2017
Evolution of Premalignant Disease.,"Kit Curtius, Nicholas A Wright, Trevor A Graham, Kit Curtius, Nicholas A Wright, Trevor A Graham","Where does cancer come from? Although the cell-of-origin is difficult to pinpoint, cancer clones harbor information about their clonal ancestries. In an effort to find cells before they evolve into a life-threatening cancer, physicians currently diagnose premalignant diseases at frequencies that substantially exceed those of clinical cancers. Cancer risk prediction relies on our ability to distinguish between which premalignant features will lead to cancer mortality and which are characteristic of inconsequential disease. Here, we review the evolution of cancer from premalignant disease, and discuss the concept that even phenotypically normal cell progenies inherently gain more malignant potential with age. We describe the hurdles of prognosticating cancer risk in premalignant disease by making reference to the underlying continuous and multivariate natures of genotypes and phenotypes and the particular challenge inherent in defining a cell lineage as ""cancerized.""",https://pubmed.ncbi.nlm.nih.gov//28490542/,2021
Cancer'simpact on employment and earnings--a population-based study from Norway.,"Astri Syse, Steinar Tretli, Øystein Kravdal, Astri Syse, Steinar Tretli, Øystein Kravdal","Introduction:Increased attention is being paid to the long-term health and well-being of people living with a history of cancer. Of particular concern is cancer's effect on productivity and work ability, which in turn is important for persons' financial situation, life satisfaction, and social relationships. We explored the extent to which Norwegian cancer survivors stay affiliated to working life compared to the cancer-free population, and quantified cancer-associated earning declines.Methods and results:Logistic regression models were estimated to explore the impact of cancer on employment using register data covering the entire Norwegian population in 2001, 567,000 men and 549,300 women 40-59 years old, of whom 34,000 were diagnosed with cancer. These analyses revealed that a cancer diagnosis was strongly associated with not being employed. Log-linear regression models were used to estimate the effect of cancer on labor earnings in 2001 for those employed. Cancer was associated with a 12% decline in earnings overall. Leukemia, lymphomas, lung, brain, bone, colorectal, and head-and-neck cancer resulted in the largest reductions in employment and earnings. Earning declines were strongly associated with educational level. In addition, linear regression models were used to estimate differentials in earnings before and after cancer. These results accorded well with those from cross-sectional models.Conclusion and implications for cancer survivors:Cancer survivors are less likely to be employed than the cancer-free population, and undertake modifications in their employment, e.g. reduce work-hours or hold lower-wage jobs, which result in reduced earnings. A social class gradient is present and must be addressed to accommodate appropriate intervention from welfare societies.",https://pubmed.ncbi.nlm.nih.gov//18792789/,2020
Global genomics project unravelscancer'scomplexity at unprecedented scale.,"Marcin Cieslik, Arul M Chinnaiyan, Marcin Cieslik, Arul M Chinnaiyan",No abstract available,https://pubmed.ncbi.nlm.nih.gov//32025004/,2022
Lungcancer'sreal adjuvant EGFR targeted therapy questions.,"Terry L Ng, D Ross Camidge, Terry L Ng, D Ross Camidge",No abstract available,https://pubmed.ncbi.nlm.nih.gov//29174309/,2021
Critical care of the patient with lungcancer.,"A T Nally, A T Nally","Critical care of patients with lung cancer requires a knowledge of the behavior of this malignancy and the implications of several prognostic variables. Lung cancer's location, cellular characteristics, and metastatic patterns predispose patients to many emergencies that may require critical care intervention. In this article, the author presents important background on the behavior of this malignancy, its treatment, and predicted critical care problems. Included is a discussion of complications such as spinal cord compression, superior vena cava syndrome, airway obstruction, pleural effusions, and neoplastic cardiac tamponade, with an overview of common paraneoplastic syndromes. A case study exemplifies a possible presentation and management of a patient with lung cancer and some of these complications.",https://pubmed.ncbi.nlm.nih.gov//8697117/,2021
Cancer'sEnemy.,"Crystal Conde, Crystal Conde","The Cancer Prevention and Research Institute of Texas (CPRIT) supports cancer prevention and control programs, as well as research and commercialization projects. CPRIT funds public and professional education, clinical services, and policy and systems change. It is interested in supporting projects that will encourage real change in how physicians deliver cancer care and show a measurable difference at the patient level.",https://pubmed.ncbi.nlm.nih.gov//21732250/,2019
"[Prevention of cervicalcancer(II): prophylactic HPV vaccination, current knowledge, practical procedures and new issues].","Joseph Monsonego, Joseph Monsonego","Despite the considerable success of early screening for prevention of cervical cancer, Pap smears have not fulfilled the hopes that it would lead to a large-scale reduction of this cancer's incidence. Screening appears to be useful for a tiny portion of the world population, although a relatively large portion must put up with its limitations and disadvantages. Human papilloma viruses (HPV) 16 and 18 are responsible for two thirds of all cervical cancers worldwide. The condylomata (condyloma acuminatum), or genital warts, induced by HPV 6 and 11 are frequent among the young and difficult to manage. The extent and burden of HPV infection are considerable, as is the psychological and emotional impact of the diseases associated with it. Because cancer of the cervix is the final consequence of chronic HPV infection, it can be prevented by vaccination. A prophylactic vaccine to protect against the precancerous and cancerous lesions associated with HPV should save lives, reduce expensive diagnostic and therapeutic interventions, and have substantial individual and collective benefits. Clinical trials of anti-HPV vaccines for the prevention of cervical cancer and condyloma have shown remarkable results and an efficacy unequaled in the history of vaccination against infectious diseases. Vaccine efficacy has been shown only in young girls never exposed to the virus and only for the lesions associated with the specific viral types in the vaccine. Preliminary data indicate that the vaccination is effective in women who have previously eliminated naturally the virus. It has no therapeutic effects on existing lesions or in healthy virus carriers. Practical questions remain to be resolved. If the vaccination is left to individual initiative and vaccination coverage is insufficient, there will be no perceptible reduction in the frequency of cervical cancer. Vaccination policies will not be identical in poor countries, where the disease represents one of the leading causes of mortality among women, and in the rich countries, where screening programs have considerably reduced the frequency of this cancer. Current planning calls for the introduction of systematic vaccination of young girls aged 9-15 years, with progressive ""catch-up"" vaccination of the cohorts of young women aged 16-26 years. Nonetheless mathematical models and immunogenicity results indicate a possible benefit for individual vaccination of adults. This approach must still be assessed in the clinical trials underway. Because the vaccine does not protect against all types of HPV associated with cervical cancer, screening must be continued according to the conditions currently set. Vaccination and screening, which are complementary and synergistic, now constitute the new standards for prevention of this disease.",https://pubmed.ncbi.nlm.nih.gov//17350792/,2018
A new chink incancer'sarmor: Unleashing cell death by selective PP5 inhibition.,"Patricija van Oosten-Hawle, Patricija van Oosten-Hawle","Serine/threonine protein phosphatases play a significant role in the survival and propagation of multiple cancers. In this issue of Cell Chemical Biology, Ahanin et al.1demonstrate that protein phosphatase 5 (PP5) dephosphorylates and inactivates the cell death effector protein FADD independently of Hsp90, and they identify a selective PP5 inhibitor as a new therapeutic strategy for renal cancer.",https://pubmed.ncbi.nlm.nih.gov//37863031/,2018
Cancerpatient education in Iran: a descriptive study.,"Ali Montazeri, Mariam Vahdani, Mehregan Haji-Mahmoodi, Soghra Jarvandi, Mandana Ebrahimi, Ali Montazeri, Mariam Vahdani, Mehregan Haji-Mahmoodi, Soghra Jarvandi, Mandana Ebrahimi","Abstract. This study was carried out to examine the status of cancer patient education in Iran. Using the Multinational Association of Supportive Care in Cancer's (MASCC) patient education questionnaire, 310 individuals - a sample of heterogeneous cancer patients ( n=167) and their relatives ( n=143) - were enrolled in the study. The pooled results indicated that only 15% of respondents believed more than 80% of cancer patients were told of their diagnosis. In contrast, 30% of respondents thought less than 20% of patients knew their cancer diagnosis. When asked, ""Were you given written materials about (i) cancer, (ii) treatment, and (iii) symptom management"", the vast majority of respondents said ""No"" (91%, 87%, and 87%, respectively). When respondents were asked, ""Would you like to learn more about cancer and treatments"", 97% said ""Yes"". Most respondents indicated the need for information on the treatments available (27%) and general information about cancer (20%); most had sought information from health professionals (31%), other cancer patients and friends (29%), and television (22%). Finally, it was found that concern about patients' depression (17%), lack of printed materials (13%), the idea that it was better for patients not to know (12%), and families' requests not to tell the patient (11%) were the most frequently stated barriers to or reasons for restricted cancer patient education. The findings of the study suggest that cancer patient education in Iran is very poor and there is an urgent need to develop policy guidelines on disclosure of cancer diagnoses and patient education.",https://pubmed.ncbi.nlm.nih.gov//11862507/,2017
Targetingcancer'sweaknesses (not its strengths): Therapeutic strategies suggested by the atavistic model.,"Charles H Lineweaver, Paul C W Davies, Mark D Vincent, Charles H Lineweaver, Paul C W Davies, Mark D Vincent","In the atavistic model of cancer progression, tumor cell dedifferentiation is interpreted as a reversion to phylogenetically earlier capabilities. The more recently evolved capabilities are compromised first during cancer progression. This suggests a therapeutic strategy for targeting cancer: design challenges to cancer that can only be met by the recently evolved capabilities no longer functional in cancer cells. We describe several examples of this target-the-weakness strategy. Our most detailed example involves the immune system. The absence of adaptive immunity in immunosuppressed tumor environments is an irreversible weakness of cancer that can be exploited by creating a challenge that only the presence of adaptive immunity can meet. This leaves tumor cells more vulnerable than healthy tissue to pathogenic attack. Such a target-the-weakness therapeutic strategy has broad applications, and contrasts with current therapies that target the main strength of cancer: cell proliferation.",https://pubmed.ncbi.nlm.nih.gov//25043755/,2018
Generalizing Few-Shot Classification of Whole-Genome Doubling AcrossCancerTypes.,"Sherry Chao, David Belanger, Sherry Chao, David Belanger","The study and treatment of cancer is traditionally specialized to the cancer's site of origin. However, certain phenotypes are shared across cancer types and have important implications for clinical care. To date, automating the identification of these characteristics from routine clinical data - irrespective of the type of cancer - is impaired by tissue-specific variability and limited labeled data. Whole-genome doubling is one such phenotype; whole-genome doubling events occur in nearly every type of cancer and have significant prognostic implications. Using digitized histopathology slide images of primary tumor biopsies, we train a deep neural network end-to-end to accurately generalize few-shot classification of whole-genome doubling across 17 cancer types. By taking a meta-learning approach, cancer types are treated as separate but jointly-learned tasks. This approach outperforms a traditional neural network classifier and quickly generalizes to both held-out cancer types and batch effects. These results demonstrate the unrealized potential for meta-learning to not only account for between-cancer type variability but also remedy technical variability, enabling real-time identification of cancer phenotypes that are too often costly and inefficient to obtain.",https://pubmed.ncbi.nlm.nih.gov//34890144/,2017
Deciphering the molecular mechanism of thecancerformation by chromosome structural dynamics.,"Xiakun Chu, Jin Wang, Xiakun Chu, Jin Wang","Cancer reflects the dysregulation of the underlying gene network, which is strongly related to the 3D genome organization. Numerous efforts have been spent on experimental characterizations of the structural alterations in cancer genomes. However, there is still a lack of genomic structural-level understanding of the temporal dynamics for cancer initiation and progression. Here, we use a landscape-switching model to investigate the chromosome structural transition during the cancerization and reversion processes. We find that the chromosome undergoes a non-monotonic structural shape-changing pathway with initial expansion followed by compaction during both of these processes. Furthermore, our analysis reveals that the chromosome with a more expanding structure than those at both the normal and cancer cell during cancerization exhibits a sparse contact pattern, which shows significant structural similarity to the one at the embryonic stem cell in many aspects, including the trend of contact probability declining with the genomic distance, the global structural shape geometry and the spatial distribution of loci on the chromosome. In light of the intimate structure-function relationship at the chromosomal level, we further describe the cell state transition processes by the chromosome structural changes, suggesting an elevated cell stemness during the formation of the cancer cells. We show that cell cancerization and reversion are highly irreversible processes in terms of the chromosome structural transition pathways, spatial repositioning of chromosomal loci and hysteresis loop of contact evolution analysis. Our model draws a molecular-scale picture of cell cancerization from the chromosome structural perspective. The process contains initial reprogramming towards the stem cell followed by the differentiation towards the cancer cell, accompanied by an initial increase and subsequent decrease of the cell stemness.",https://pubmed.ncbi.nlm.nih.gov//34752443/,2022
Proteomic analysis ofcancertissues: shedding light on carcinogenesis and possible biomarkers.,"Yasuhiro Kuramitsu, Kazuyuki Nakamura, Yasuhiro Kuramitsu, Kazuyuki Nakamura","Lung, gastric, colorectal, pancreatic, and esophageal cancers, as well as hepatocellular carcinoma (HCC), were the six most common and highly fatal cancers for Japanese men in Japan in 2003, while for women uterine cervical cancer could also be added to this list. To identify diagnostic or therapeutic biomarkers for these cancers, investigators are nowadays performing proteomic analyses of cancer tissues and cells, and revealing a large number of molecules which are diagnostic, prognostic and informative of carcinogenesis. From reports of proteomic analyses of cancerous tissues and noncancerous tissues sampled from HCC, and pancreatic, esophageal, gastric, colorectal, lung and uterine cervical cancers, we classified the proteins into digestive enzymes, growth factors, cell adhesion molecules, calcium-binding proteins, proteases, protease inhibitors, transporter proteins, structural molecules, apoptosis inhibitor, molecular chaperone, as well as proteins related to cell growth, cell differentiation, cell transformation, tumor invasion, carcinogen metabolism, and others. The aim of this study was to understand carcinogenesis of major cancers from a proteomics perspective using samples from cancer patients, and to elucidate their tumor biomarkers.",https://pubmed.ncbi.nlm.nih.gov//16972299/,2022
A BiTE fromcancer'sintracellular menu.,"Alexander I Salter, Stanley R Riddell, Alexander I Salter, Stanley R Riddell",No abstract available,https://pubmed.ncbi.nlm.nih.gov//26448086/,2023
Complementary and alternative medicine therapies as symptom management strategies for the late effects of breastcancertreatment.,"Ashley M Henneghan, Tracie Harrison, Ashley M Henneghan, Tracie Harrison","Advancements in breast cancer treatment continue to improve the likelihood of survival. The increase in survival has come at a cost, however; the late effects of breast cancer treatment have remained a constant reminder to women of what they have endured and require holistic nursing's attention. One area of nursing practice that might improve the condition of breast cancer survivors once their treatment has ended is complementary and alternative medicine (CAM) therapies. To provide guidance to nurses working with breast cancer survivors, a focused review of the literature exploring the symptomatology and prevalence of breast cancer's late effects as well as the use of CAM therapies to improve those effects is presented. Evidence suggests that CAM therapies have sometimes been incorporated into symptom management strategies currently employed; however, the evidential claims as a whole have been generally inconclusive, especially for complete resolution of the late effects. Regardless, a number of studies demonstrate a reduction of negative symptoms experienced with few to no side effects of CAM therapies.",https://pubmed.ncbi.nlm.nih.gov//24935277/,2017
Strategies for stalling malignancy: targetingcancer'saddiction to Hsp90.,"Chrisostomos Prodromou, Chrisostomos Prodromou","Hsp90 is involved in the maturation and activation of client proteins. Often these are key proteins involved in signal transduction and regulatory pathways that in a mutated and/or deregulated form sustain an oncogenic cellular state. Consequently, the malignancy is maintained with the aid of Hsp90 upon which the mutated proteins have become particularly dependent for their activity. The requirement for the Hsp90 chaperone machine to drive the malignancy makes Hsp90 a prime anticancer target, an 'axle in a wheel' that when disrupted has been shown to be effective in killing cancerous cells. This review aims to identify potential drug targets, based on the current structural knowledge of the Hsp90-chaperone machine, that could be targeted with the aim of disrupting its functioning and promoting an anti-cancer activity.",https://pubmed.ncbi.nlm.nih.gov//19860736/,2018
Treating the incurables:Cancerasylums in 18th and 19th century.,"Marianna Karamanou, Theodora Psaltopoulou, Kostas Markatos, Georgios Karaoglanis, George Androutsos, Marianna Karamanou, Theodora Psaltopoulou, Kostas Markatos, Georgios Karaoglanis, George Androutsos","For centuries several hypotheses were formulated on cancer's pathogenesis such as contagiousness, melancholy, heredity and sexuality. In the 18th and 19th century, despite the advent of medical thought and practice, cancer was considered an incurable and contagious disease. Hospitals were refusing to treat cancer patients while the social stigma which followed the disease made primordial the need for the establishment of special institutions. In our article we will present the cancer asylums which counterbalanced the prejudices of the time and contributed to the establishment of modern cancer hospitals.",https://pubmed.ncbi.nlm.nih.gov//29135134/,2019
Clinical approaches to osseous metastases in prostatecancer.,"Michael J Morris, Howard I Scher, Michael J Morris, Howard I Scher","Background:Prostate cancer is unique among solid tumors in its proclivity to metastasize primarily to bone. Osseous metastases pose a formidable health threat to patients with metastatic disease, putting them at risk for pain, marrow crowding, fracture, and other sequelae. Treatments directed against bone disease have the potential both to palliate pain and to increase survival.Conclusions:A number of agents exist that have the potential to palliate the effects of osseous metastases and should be routinely applied in the clinical care of the patient with advanced prostate cancer. These include hormones, bone-seeking radiopharmaceuticals, chemotherapy, and bisphosphonates. Strategies under investigation aim to eradicate bone disease, and not merely palliate symptoms. These approaches combine those listed above with tumor-directed targeting of osseous disease and manipulation of the biology that underlies the cancer's relationship to bone.",https://pubmed.ncbi.nlm.nih.gov//12697941/,2019
"Penilecancer: clinical presentation, diagnosis, and staging.","Daniel A Barocas, Sam S Chang, Daniel A Barocas, Sam S Chang","Penile cancer is an uncommon malignancy in developed countries, with an estimated 1290 new cases of invasive penile cancer and 290 deaths among men in the United States in 2009, but is much more common in the developing countries of Asia, Africa, and South America. This disease can result in loss of function, disfigurement, and death. Thus, recognizing penile cancer early in the clinical setting and accurately diagnosing the patients is critical. Because the management and prognosis varies by the extent of local disease, lymph node status, and other factors, accurate staging of penile cancer is of utmost importance. This article focuses on the presentation, diagnosis, and staging of invasive squamous cell carcinoma of the penis. The authors highlight the recent changes to the American Joint Committee on Cancer's staging system for penile carcinoma and discuss other prognostic factors and predictive models.",https://pubmed.ncbi.nlm.nih.gov//20674691/,2022
Cancer'ssource in the peripheral nervous system.,"Peter B Dirks, Peter B Dirks",No abstract available,https://pubmed.ncbi.nlm.nih.gov//18391936/,2023
ReadingCancer'sPrelude.,"Katie Gerhardt, Katie Gerhardt",No abstract available,https://pubmed.ncbi.nlm.nih.gov//27515916/,2016
Epistemology of the origin ofcancer: a new paradigm.,"Björn Ldm Brücher, Ijaz S Jamall, Björn Ldm Brücher, Ijaz S Jamall","Background:Carcinogenesis is widely thought to originate from somatic mutations and an inhibition of growth suppressors, followed by cell proliferation, tissue invasion, and risk of metastasis. Fewer than 10% of all cancers are hereditary; the ratio in gastric (1%), colorectal (3-5%) and breast (8%) cancers is even less. Cancers caused by infection are thought to constitute some 15% of the non-hereditary cancers. Those remaining, 70 to 80%, are called ""sporadic,"" because they are essentially of unknown etiology. We propose a new paradigm for the origin of the majority of cancers.Presentation of hypothesis:Our paradigm postulates that cancer originates following a sequence of events that include (1) a pathogenic stimulus (biological or chemical) followed by (2) chronic inflammation, from which develops (3) fibrosis with associated changes in the cellular microenvironment. From these changes a (4) pre-cancerous niche develops, which triggers the deployment of (5) a chronic stress escape strategy, and when this fails to resolve, (6) a transition of a normal cell to a cancer cell occurs. If we are correct, this paradigm would suggest that the majority of the findings in cancer genetics so far reported are either late events or are epiphenomena that occur after the appearance of the pre-cancerous niche.Testing the hypothesis:If, based on experimental and clinical findings presented here, this hypothesis is plausible, then the majority of findings in the genetics of cancer so far reported in the literature are late events or epiphenomena that could have occurred after the development of a PCN. Our model would make clear the need to establish preventive measures long before a cancer becomes clinically apparent. Future research should focus on the intermediate steps of our proposed sequence of events, which will enhance our understanding of the nature of carcinogenesis. Findings on inflammation and fibrosis would be given their warranted importance, with research in anticancer therapies focusing on suppressing the PCN state with very early intervention to detect and quantify any subclinical inflammatory change and to treat all levels of chronic inflammation and prevent fibrotic changes, and so avoid the transition from a normal cell to a cancer cell.Implication of the hypothesis:The paradigm proposed here, if proven, spells out a sequence of steps, one or more of which could be interdicted or modulated early in carcinogenesis to prevent or, at a minimum, slow down the progression of many cancers.",https://pubmed.ncbi.nlm.nih.gov//24885752/,2019
Glycosylation and Antitumor Immunity.,"Alexandra P Cadena, Taylor R Cushman, James W Welsh, Alexandra P Cadena, Taylor R Cushman, James W Welsh","Glycosylation and its by-product, the glycan, play a crucial role in many cellular processes. Aberrant glycan structures and mutations of the glycosylation pathway have been intricately linked with the development of cancer and more recently with cancer's ability to escape the innate immune system. This chapter aims to elucidate how glycosylation interacts with the immune system to promote tumor deviation through endogenous lectins, mutated glycosphingolipids, sialic acid domains, and more. This chapter also explores the mechanisms of glycosylation that may lead to powerful translational therapeutic tools, such as glycotransferase inhibitors, glycan/glycopeptide-based vaccines, and antibody-based immunotherapies, all of which have shown great promise clinically in the field of immuno-oncology.",https://pubmed.ncbi.nlm.nih.gov//30712671/,2022
An Entropy-Based Method for Identifying Mutual Exclusive Driver Genes inCancer.,"Junrong Song, Wei Peng, Feng Wang, Junrong Song, Wei Peng, Feng Wang","Cancer in essence is a complex genomic alteration disease which is caused by the somatic mutations during the lifetime. According to previous researches, the first step to overcome cancer is to identify driver genes which can promote carcinogenesis. However, it is still a big challenge to precisely and efficiently extract the cancer related driver genes because the nature of cancer is heterogeneous and there exists tremendously irrelevant passenger mutations which have no function impact on the cancer's development. In this work, we proposed a novel entropy-based method namely EntroRank to identify driver genes by integrating the subcellular localization information and mutual exclusive of variation frequency into the network. EntroRank can take into full consideration different properties of driver genes. Considering the modularity of driver genes, the mutated genes in the network were first clustered into different subgroups according to their located compartments. After that, the structural entropy of the gene in the subgroup was employed to measure its indispensability. Considering mutual exclusive property between driver genes in the modules, relative entropy was utilized to measure the degree of mutual exclusive between two mutated genes in terms of their variation frequency. We applied our method to three different cancers including lung, prostate, and breast cancer. The results show our method not only detect the well-known important drivers but also prioritiz the rare unknown driver genes. Besides, EntroRank can identify driver genes having mutual exclusive property. Compared with other existing methods, our method achieves a better performance for most of cancer types in terms of Precision, Recall, and Fscore.",https://pubmed.ncbi.nlm.nih.gov//30763245/,2021
Cancer'snext frontier: addressing high and increasing costs.,"Elena B Elkin, Peter B Bach, Elena B Elkin, Peter B Bach",No abstract available,https://pubmed.ncbi.nlm.nih.gov//20233828/,2017
Doescanceraffect marriage rates?,"Astri Syse, Astri Syse","Introduction:Finding a life partner is of great importance for persons' life satisfaction, but cancer's potential impact on family life is not well described. Cancer's impact on marriage formation rates was therefore explored.Method:Data on the entire unmarried Norwegian population aged 17-44 in 1974-2001 (N = 2.2 million) come from the Cancer Registry and the Central Population Register. Marriage rates for 12,100 persons diagnosed with cancer were compared to marriage rates for otherwise similar persons using discrete-time hazard regression models.Results:Men with cancer had a marriage probability that was five percent higher (OR 1.05, CI 1.01-1.11) than cancer-free men. No cancer forms reduced men's marriage rates, and significantly elevated rates were seen after skin and testicular cancer (OR 1.16 and 1.11). Cancer did not impact significantly on women's overall marriage rate (OR 0.95, CI 0.90-1.00), but pronounced deficiencies were seen after brain and breast cancer (OR 0.62 and 0.74). Skin cancer elevated women's marriage rate (OR 1.27). Male cancer survivors with children were more likely to marry than their female counterparts. Significant increases in cancer survivors' marriage rates were observed over time.Conclusion:Marrying after cancer is more common today than previously, and only slight overall differences were observed in cancer survivors' marriage rates relative to those of the cancer-free population. However, while brain and breast cancer in women is associated with reduced marriage rates, testicular cancer is associated with increased rates. The differences observed between common cancer forms in young adults deserve further exploration.Implications for cancer survivors:In general, marriage rates in survivors of most types of cancer are very similar to those in the population as a whole. Women with brain and breast cancer have lower marriage rates than their cancer-free counterparts. While it is necessary to identify exactly why this was observed, the information can alert those with these cancers to the potential impact on marriage and thus work to reduce the possible effect, if desired.",https://pubmed.ncbi.nlm.nih.gov//18663582/,2022
In situ research and diagnosis of breastcancerby using HOF-ATR-FTIR spectroscopy.,"Yanfei Lu, Yuan Zhao, Yongkang Zhu, Xinyu Xu, Jianhua Yin, Yanfei Lu, Yuan Zhao, Yongkang Zhu, Xinyu Xu, Jianhua Yin","To accurately investigate in situ breast cancer would be very significant for real-time information and in situ diagnosis. In this in situ study, home-made hollow optical fiber attenuated total reflection (HOF-ATR) probe was integrated into Fourier transform infrared (FTIR) spectroscopic system to perform breast cancer research at molecular level. Based on the FTIR spectral analysis on band shifts and absorbance ratios, it's disclosed that the molecular structure, conformation and content of main components change with cancerization of breast tissue. Fisher's discriminant analysis on HOF-ATR-FTIR spectra was applied to identify the healthy and cancerous breast tissues for the first time. The identification accuracy was 96.67% for training group and 93.33% for cross-validation, respectively, as well as 95% for the prediction group. This paper provides much in situ information of tissue cancerization at molecular level, which can be used as fingerprint biomarkers of tissue cancerization for in situ diagnosis. HOF-ATR-FTIR spectroscopy with discriminant analysis has potential to be an effective and promising method in in situ biomedical research and monitoring of breast cancer.",https://pubmed.ncbi.nlm.nih.gov//32247254/,2018
Anti-tumor pharmacology of natural products targeting mitosis.,"Manru Huang, Caiyan Liu, Yingying Shao, Shiyue Zhou, Gaoyong Hu, Shuangshuang Yin, Weiling Pu, Haiyang Yu, Manru Huang, Caiyan Liu, Yingying Shao, Shiyue Zhou, Gaoyong Hu, Shuangshuang Yin, Weiling Pu, Haiyang Yu","Cancer has been an insurmountable problem in the history of medical science. The uncontrollable proliferation of cancer cells is one of cancer's main characteristics, which is closely associated with abnormal mitosis. Targeting mitosis is an effective method for cancer treatment. This review summarizes several natural products with anti-tumor effects related to mitosis, focusing on targeting microtubulin, inducing DNA damage, and modulating mitosis-associated kinases. Furthermore, the main disadvantages of several typical compounds, including drug resistance, toxicity to non-tumor tissues, and poor aqueous solubility and pharmacokinetic properties, are also discussed, together with strategies to address them. Improved understanding of cancer cell mitosis and natural products may pave the way to drug development for the treatment of cancer.",https://pubmed.ncbi.nlm.nih.gov//35699421/,2023
Bladdercancerextracellular vesicles drive tumorigenesis by inducing the unfolded protein response in endoplasmic reticulum of nonmalignant cells.,"Chia-Hao Wu, Christopher R Silvers, Edward M Messing, Yi-Fen Lee, Chia-Hao Wu, Christopher R Silvers, Edward M Messing, Yi-Fen Lee","The field cancerization effect has been proposed to explain bladder cancer's multifocal and recurrent nature, yet the mechanisms of this effect remain unknown. In this work, using cell biology, flow cytometry, and qPCR analyses, along with a xenograft mouse tumor model, we show that chronic exposure to tumor-derived extracellular vesicles (TEVs) results in the neoplastic transformation of nonmalignant human SV-HUC urothelial cells. Inhibition of EV uptake prevented this transformation. Transformed cells not only possessed several oncogenic properties, such as increased genome instability, loss of cell-cell contact inhibition, and invasiveness, but also displayed altered morphology and cell structures, such as an enlarged cytoplasm with disrupted endoplasmic reticulum (ER) alignment and the accumulation of smaller mitochondria. Exposure of SV-HUC cells to TEVs provoked the unfolded protein response in the endoplasmic reticulum (UPRER). Prolonged induction of UPRERsignaling activated the survival branch of the UPRERpathway, in which cells had elevated expression of inositol-requiring enzyme 1 (IRE1), NF-κB, and the inflammatory cytokine leptin, and incurred loss of the pro-apoptotic protein C/EBP homologous protein (CHOP). More importantly, inhibition of ER stress by docosahexaenoic acid prevented TEV-induced transformation. We propose that TEVs promote malignant transformation of predisposed cells by inhibiting pro-apoptotic signals and activating tumor-promoting ER stress-induced unfolded protein response and inflammation. This study provides detailed insight into the mechanisms underlying the bladder cancer field effect and tumor recurrence.",https://pubmed.ncbi.nlm.nih.gov//30593508/,2020
Why is alcoholcancer'sbest-kept secret?,"Terry Slevin, Tanya Chikritzhs, Terry Slevin, Tanya Chikritzhs",No abstract available,https://pubmed.ncbi.nlm.nih.gov//27873368/,2020
How to follow metabolic clues to findcancer'sAchilles heel.,"Vivien Marx, Vivien Marx",No abstract available,https://pubmed.ncbi.nlm.nih.gov//30814701/,2023
Epigenetic fieldcancerizationin gastrointestinalcancers.,"Yoshifumi Baba, Takatsugu Ishimoto, Junji Kurashige, Masaaki Iwatsuki, Yasuo Sakamoto, Naoya Yoshida, Masayuki Watanabe, Hideo Baba, Yoshifumi Baba, Takatsugu Ishimoto, Junji Kurashige, Masaaki Iwatsuki, Yasuo Sakamoto, Naoya Yoshida, Masayuki Watanabe, Hideo Baba","Epigenetic alterations, including aberrant DNA methylation, play an important role in human cancer development. Importantly, epigenetic alterations are reversible and can be targets for therapy or chemoprevention for various types of human cancers. A field for cancerization, or a field defect, is formed by the accumulation of genetic and/or epigenetic alterations in normal-appearing tissues and can correlate with risk of cancer development. Thus, a better understanding of epigenetic field cancerization may represent a useful translational opportunity for cancer risk assessment, including previous history and exposure to carcinogenic factors, and for cancer prevention. In this article, we summarize current knowledge regarding epigenetic field cancerization and its clinical implications in gastrointestinal cancers, including colorectal cancer, gastric cancer and esophageal cancer.",https://pubmed.ncbi.nlm.nih.gov//26971491/,2018
Cutting offcancer'ssupply lines.,"Erika Check Hayden, Erika Check Hayden",No abstract available,https://pubmed.ncbi.nlm.nih.gov//19360048/,2023
Melancholy as a risk factor forcancer: a historical overview.,"Marianna Karamanou, Elias Tzavellas, Konstantinos Laios, Michalis Koutsilieris, George Androutsos, Marianna Karamanou, Elias Tzavellas, Konstantinos Laios, Michalis Koutsilieris, George Androutsos","In antiquity, physicians related depression or melancholic humour to cancer's pathogenesis. Galen (130-201 AD), sustained that melancholy could give rise to a tumour and his theory was repeated by the Byzantine and Arab physicians. In the 19th century, malignancy and depression became synonymous and people attributed their cancer to sadness. In 1893, the London surgeon Hebert Snow (1847-1930), performed an epidemiological study in order to clarify that link. The results revealed a probable connection. His work was followed by several large scale prospective studies some of which identified depression as a risk factor for cancer where others found no association. However, a possible explanation could be given by our current knowledge in immunology: inflammation and nonspecific immune activation play a role in the pathophysiology of depression and cancer growth.",https://pubmed.ncbi.nlm.nih.gov//27569105/,2021
Medicine.Cancer'scirculation problem.,"Jocelyn Kaiser, Jocelyn Kaiser",No abstract available,https://pubmed.ncbi.nlm.nih.gov//20185704/,2019
